Date,Channel,Spend,Installs
2026-08-01,synthetic-1,100,10
2026-08-02,synthetic-2,110,11
2026-08-03,synthetic-3,120,12
2026-08-04,synthetic-4,130,13
2026-08-05,synthetic-5,140,14
2026-08-06,synthetic-6,150,15
2026-08-07,synthetic-7,160,16
2026-08-08,synthetic-8,170,17
2026-08-01,synthetic-9,180,18
2026-08-02,synthetic-10,190,19
2026-08-03,synthetic-11,200,20
2026-08-04,synthetic-12,210,21
2026-08-05,synthetic-13,220,22
2026-08-06,synthetic-14,230,23
2026-08-07,synthetic-15,240,24
2026-08-08,synthetic-16,250,25
2026-08-01,synthetic-17,260,26
2026-08-02,synthetic-18,270,27
2026-08-03,synthetic-19,280,28
2026-08-04,synthetic-20,290,29
2026-08-05,synthetic-21,300,30
2026-08-06,synthetic-22,310,31
2026-08-07,synthetic-23,320,32
2026-08-08,synthetic-24,330,33
