date,channel,campaign_id,campaign_name,cost,installs,impressions,clicks
2026-08-31,Example channel,A,A,50000,50,10000,500
2026-08-31,Example channel,B,B,50000,50,10000,500
2026-09-01,Example channel,A,A,50000,50,10000,500
2026-09-01,Example channel,B,B,50000,50,10000,500
2026-09-02,Example channel,A,A,50000,50,10000,500
2026-09-02,Example channel,B,B,50000,50,10000,500
2026-09-03,Example channel,A,A,50000,50,10000,500
2026-09-03,Example channel,B,B,50000,50,10000,500
2026-09-04,Example channel,A,A,50000,50,10000,500
2026-09-04,Example channel,B,B,50000,50,10000,500
2026-09-05,Example channel,A,A,50000,50,10000,500
2026-09-05,Example channel,B,B,50000,50,10000,500
2026-09-06,Example channel,A,A,50000,50,10000,500
2026-09-06,Example channel,B,B,50000,50,10000,500
2026-09-07,Example channel,A,A,60000,40,10000,500
2026-09-07,Example channel,B,B,60000,60,10000,500
2026-09-08,Example channel,A,A,60000,40,10000,500
2026-09-08,Example channel,B,B,60000,60,10000,500
2026-09-09,Example channel,A,A,60000,40,10000,500
2026-09-09,Example channel,B,B,60000,60,10000,500
2026-09-10,Example channel,A,A,60000,40,10000,500
2026-09-10,Example channel,B,B,60000,60,10000,500
2026-09-11,Example channel,A,A,60000,40,10000,500
2026-09-11,Example channel,B,B,60000,60,10000,500
2026-09-12,Example channel,A,A,60000,40,10000,500
2026-09-12,Example channel,B,B,60000,60,10000,500
2026-09-13,Example channel,A,A,60000,40,10000,500
2026-09-13,Example channel,B,B,60000,60,10000,500
