date,channel,campaign_id,campaign_name,cost,installs,impressions,clicks
2026-08-31,Example channel,A,A,50000,50,10000,500
2026-08-31,Example channel,B,B,50000,50,10000,500
2026-09-01,Example channel,A,A,50000,50,10000,500
2026-09-01,Example channel,B,B,50000,50,10000,500
2026-09-02,Example channel,A,A,50000,50,10000,500
2026-09-02,Example channel,B,B,50000,50,10000,500
2026-09-03,Example channel,A,A,50000,50,10000,500
2026-09-03,Example channel,B,B,50000,50,10000,500
2026-09-04,Example channel,A,A,50000,50,10000,500
2026-09-04,Example channel,B,B,50000,50,10000,500
2026-09-05,Example channel,A,A,50000,50,10000,500
2026-09-05,Example channel,B,B,50000,50,10000,500
2026-09-06,Example channel,A,A,50000,50,10000,500
2026-09-06,Example channel,B,B,50000,50,10000,500
2026-09-07,Example channel,A,A,60000,40,10000,500
2026-09-07,Example channel,B,B,60000,60,10000,500
2026-09-08,Example channel,A,A,60000,40,10000,500
2026-09-08,Example channel,B,B,60000,60,10000,500
2026-09-09,Example channel,A,A,60000,40,10000,500
2026-09-09,Example channel,B,B,60000,60,10000,500
2026-09-10,Example channel,A,A,60000,40,10000,500
2026-09-10,Example channel,B,B,60000,60,10000,500
2026-09-11,Example channel,A,A,60000,40,10000,500
2026-09-11,Example channel,B,B,60000,60,10000,500
2026-09-12,Example channel,A,A,60000,40,10000,500
2026-09-12,Example channel,B,B,60000,60,10000,500
2026-09-13,Example channel,A,A,60000,40,10000,500
2026-09-13,Example channel,B,B,60000,60,10000,500
2026-09-14,Example channel,A,A,60000,50,12000,600
2026-09-14,Example channel,B,B,60000,60,12000,600
2026-09-15,Example channel,A,A,60000,50,12000,600
2026-09-15,Example channel,B,B,60000,60,12000,600
2026-09-16,Example channel,A,A,60000,50,12000,600
2026-09-16,Example channel,B,B,60000,60,12000,600
2026-09-17,Example channel,A,A,60000,50,12000,600
2026-09-17,Example channel,B,B,60000,60,12000,600
2026-09-18,Example channel,A,A,60000,50,12000,600
2026-09-18,Example channel,B,B,60000,60,12000,600
2026-09-19,Example channel,A,A,60000,50,12000,600
2026-09-19,Example channel,B,B,60000,60,12000,600
2026-09-20,Example channel,A,A,60000,50,12000,600
2026-09-20,Example channel,B,B,60000,60,12000,600
